ACT_NUM_ACTIVO;LLV_NUM_LLAVE;DD_TTE_CODIGO_POSEEDOR;MLV_COD_TENEDOR_POSEEDOR;DD_TTE_CODIGO_PEDIDOR;MLV_COD_TENEDOR_PEDIDOR;MLV_ENVIO;MLV_FECHA_ENVÍO;MLV_FECHA_RECEPCIÓN;MLV_OBSERVACIONES;MLV_ESTADO
7050367;413936;03;;01;1116;Transporte 24h;30/01/2020;03/02/2020;;04
6971948;441797;08;Central de llaves;04;10004837;Valija;30/01/2020;04/02/2020;ENVIAR A NUESTRA VALIJA 5753 DE GARSA VALENCIA;04
137237;446420;08;Central de llaves;04;;En mano;03/02/2020;04/02/2020;;04
148391;446437;08;Central de llaves;04;;En mano;04/02/2020;04/02/2020;Por favor, cualquier información sobre la solicitud a lsanchez@grupogf.es;04
148391;446440;08;Central de llaves;04;;En mano;04/02/2020;04/02/2020;;04
7050538;449687;08;Central de llaves;08;Central de llaves;Transporte 10h;04/02/2020;;;02
7295597;453699;08;Central de llaves;01;5599;Valija;28/01/2020;04/02/2020;;04
6061740;453704;08;Central de llaves;01;5599;Valija;28/01/2020;04/02/2020;;04
6791421;453776;08;Central de llaves;01;5599;Valija;28/01/2020;04/02/2020;;04
6791807;460506;03;10007550;01;13048;Transporte 24h;03/02/2020;04/02/2020;;04
137237;486837;08;Central de llaves;04;;En mano;03/02/2020;04/02/2020;;04
137237;486840;08;Central de llaves;04;;En mano;03/02/2020;04/02/2020;;04
7048462;523696;03;;03;;Transporte 24h;04/02/2020;;;03
7295143;569016;08;Central de llaves;01;6526;Valija;27/01/2020;03/02/2020;;04
7295137;569024;08;Central de llaves;01;6526;Valija;27/01/2020;03/02/2020;;04
286962;585092;03;;01;3301;Transporte 24h;26/12/2019;04/02/2020;;04
412708;585188;03;;01;;Transporte 24h;27/01/2020;04/02/2020;;04
5942113;638013;08;Central de llaves;01;2271;Valija;29/01/2020;04/02/2020;;04
6854232;638256;08;Central de llaves;01;10028830;Transporte 24h;31/01/2020;03/02/2020;;04
