+0000000000005011                                      48                   2                                                                          ASUA GRUPO INMOBILIARIO SL                                                                                                                                                                                                                          02           B48737795                                                                                                                                                                                                                                                  GRAN VIA           976346666                     comercial.zaragoza@inbisa.com+00048009                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                   
+0000000000005013                                       2                   2                                                                        PARQUE CENTRAL RIO PARK S.L.                                                                                                                                                                                                                          02           B02365591                                                                                                                                                                                                                                                CONCEPCION           670415131                   arquitecturasgonzalez@gmail.com+00002002                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                   
+0000000000005014                                      34                   2                                                            SERVICIOS INMOBILIARIOS DE PALENCIA S.L.                                                                                                                                                                                                                          02           B34210591                                                                                                                                                                                                                                             SANTA EUFEMIA           607606669                              marcosreyf@gmail.com+00034003                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                   
+0000000000005015                                      39                   2                                                                                      GARCIPREA S.L.                                                                                                                                                                                                                          02           B39672910                                                                                                                                                                                                                                                  CASTELAR           629464900                             josemarigrc@gmail.com+00039004                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                   
+0000000000005016                                      28                   2                                                                                  PRONORTE UNO, S.A.                                                                                                                                                                                                                          02           A28795763                                                                                                                                                                                                                                       PRINCIPE DE VERGARA           914354279                             copalla@pallahnos.com+00028001                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                   
+0000000000005017                                      28                   2                                                PROMOTORA INMOBILIARIA LOS JARDINES DE A.S.R.,  S.A.                                                                                                                                                                                                                          02           A84543909                                                                                                                                                                                                                                                  ODONNELL           915751165                  mcarrillo@angelesdesanrafael.com+00028009                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                   
+0000000000005018                                      28                   2                                                             PROMOTORA INMOBILIARIA LA MEZQUITA S.A.                                                                                                                                                                                                                          02           A78431525                                                                                                                                                                                                                                                      GOYA           915751165                  mcarrillo@angelesdesanrafael.com+00028001                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                   
+0000000000005019                                      46                   2                                                                                      BLASPERT, S.L.                                                                                                                                                                                                                          02           B96731997                                                                                                                                                                                                                                        DEL MESTRE SERRANO           652932125                                blaspert@gmail.com+00046193                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                   
+0000000000005020                                      28                   2                                                                            NEWAR- SIERRA ELVIRA UTE                                                                                                                                                                                                                          02           U84124692                                                                                                                                                                                                                                                  ARANJUEZ           915333309                             ciudadlineal@newar.es+00028039                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                   
+0000000000005021                                      19                   2                                                                      GESTESA DESARROLLOS URBANOS SL                                                                                                                                                                                                                          02           B19150572                                                                                                                                                                                                                                 TRAFALGAR. POL.IND.EL BAL           949253990                 comercial.guadalajara@gestesa.com+00019004                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                   
+0000000000005022                                       8                   2                                                            TRANSACCIONES INMOBILIARIAS RICARD, S.L.                                                                                                                                                                                                                          02           B60511060                                                                                                                                                                                                                                             FLORIDABLANCA           934265752                                  ricard@casa.info+00008011                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                   
